medallion,pickuptime,dropofftime,passengers,pickupx,pickupy,dropoffx,dropoffy,fare,paymenttype,surcharge,mtatax,tip,tolls,total
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 00:38:08,2013-01-18 00:47:06,2,-73.984924,40.748253,-73.984062,40.765545,8.5,CSH,0.5,0.5,0,0,9.5
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 01:16:07,2013-01-18 01:18:19,2,-73.984962,40.748161,-73.990875,40.748924,3.5,CSH,0.5,0.5,0,0,4.5
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 02:05:33,2013-01-18 02:22:55,2,-73.987221,40.748051,-73.923866,40.761269,17,CSH,0.5,0.5,0,0,18
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 05:11:13,2013-01-18 05:12:58,1,-73.992973,40.740288,-73.995331,40.742264,3.5,CSH,0.5,0.5,0,0,4.5
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 05:26:29,2013-01-18 05:33:17,1,-73.99292,40.740387,-73.990692,40.724277,7.5,CSH,0.5,0.5,0,0,8.5
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 05:59:00,2013-01-18 06:05:33,1,-73.978897,40.754272,-73.98317,40.76659,7,CRD,0,0.5,2,0,9.5
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 06:27:58,2013-01-18 06:37:44,1,-73.99408,40.751396,-74.005608,40.727421,9,CSH,0,0.5,0,0,9.5
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 06:48:19,2013-01-18 06:56:52,1,-73.994102,40.751328,-73.975243,40.757671,8,CRD,0,0.5,2.12,0,10.62
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 07:06:12,2013-01-18 07:12:15,1,-73.977165,40.753216,-73.967819,40.759373,6,CRD,0,0.5,1.62,0,8.12
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 08:47:19,2013-01-18 08:53:13,2,-73.974281,40.793243,-73.965927,40.805206,6.5,CSH,0,0.5,0,0,7
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 09:00:56,2013-01-18 09:15:37,1,-73.975876,40.791836,-73.964828,40.77549,11.5,CRD,0,0.5,1,0,13
4C4A0AFC432A1A87E97ED8F18403FF6E,2013-01-18 09:18:25,2013-01-18 09:32:41,1,-73.963463,40.774693,-73.965431,40.756088,11.5,CSH,0,0.5,0,0,12
