medallion,pickuptime,dropofftime,passengers,pickupx,pickupy,dropoffx,dropoffy,fare,paymenttype,surcharge,mtatax,tip,tolls,total
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 0:19,4/17/13 0:32,1,-73.783005,40.648525,-73.965332,40.763577,11,CSH,0.5,0.5,0,0,12
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 1:01,4/17/13 1:09,1,-73.966789,40.764191,-73.966789,40.764191,8,CRD,0.5,0.5,1.8,0,10.8
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 1:42,4/17/13 1:55,1,-73.9916,40.759949,-73.9916,40.759949,16.5,CRD,0.5,0.5,2,0,19.5
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 4:13,4/17/13 4:23,1,-74.003922,40.716797,-74.003922,40.716797,9.5,CSH,0.5,0.5,0,0,10.5
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 4:54,4/17/13 5:14,1,-74.007011,40.742035,-73.894638,40.766338,33,CSH,0.5,0.5,0,5.33,39.33
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 5:38,4/17/13 5:42,1,-73.894638,40.766338,-73.894638,40.766338,5.5,CRD,0.5,0.5,1,0,7.5
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 7:41,4/17/13 7:51,1,-73.983566,40.725876,-73.96711,40.755875,10,CRD,0,0.5,2.1,0,12.6
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 7:55,4/17/13 8:06,1,-73.966751,40.764076,-73.953247,40.778496,9,CSH,0,0.5,0,0,9.5
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 8:07,4/17/13 8:27,1,-73.953247,40.778496,-73.94796,40.770447,13.5,CRD,0,0.5,2,0,16
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 8:29,4/17/13 8:32,1,-73.94796,40.770447,-73.94796,40.770447,4,CSH,0,0.5,0,0,4.5
0FE34002F6E240EBAE51520DEF0D2259,4/17/13 8:35,4/17/13 8:47,1,-73.94796,40.770447,-73.970367,40.757023,8.5,CRD,0,0.5,1,0,10
