medallion,pickuptime,dropofftime,passengers,pickupx,pickupy,dropoffx,dropoffy,fare,paymenttype,surcharge,mtatax,tip,tolls,total,nextpickuptime,key,trippolyline,nextpolyline
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 0:01,5/30/13 0:18,3,-74.002365,40.734482,-73.947754,40.723988,18,CSH,0.5,0.5,0,0,19,5/30/13 1:45,0,m}rwFnqtbMZN|BjAPFpAl@rAn@tAn@XN??bBy@t@]`Ae@j@YtBeAvAo@ZQVIpA_DHU??vEtDTR??hAwCjAwCfAoCjA}CjAwChAuCd@gAL]JYLg@j@uDBMF[Dg@DU`@uAh@}BDWn@qCTy@`@cB??vFzA|A`@rCp@hCv@pBl@LF??NWJWj@wCJa@Hg@b@sBFc@Jc@\cBRaAZwAFYF[Z}Ad@_CFWn@cDn@}CDSDMFUd@gBz@oCFQ??@GDK?CBI@GBIlKgh@??`@_CBKF_@Nw@TqA@Ah@sCBKBSFYF]t@}DDOFWfIqa@XuALm@Lm@n@}CF]x@{D^eBhAgF~AuHJc@VmATq@d@wBVmAVmAHc@BWFg@BSBg@@]???_@A[A[E_AA_@MaCCa@C[?OEaAGqAEs@Cc@COCSCQCSG[GWEMCKKWEMWm@k@_Ag@o@u@q@CCa@Wu@c@wAy@aAi@aAu@_Ay@s@q@w@y@e@g@EGAA?AAA?AAA?CGWYYWYy@}@s@{@SWa@i@gA_Bg@s@i@{@c@o@k@aAk@cAMWQY{B_Eg@{@a@u@wAiCeAqBe@{@g@eA??Oq@EIK]KYGUSw@Mu@Ou@??UWSQOKQKQGQG??IJGHIBA?KBMJkBbBa@b@oAnAe@l@}AdB_@b@}@~@s@t@qFpC,_|pwFd|ibMi@XwAr@??m@gCw@eDu@cDKi@AEAGAK??tNsA~BSjCYlBSL?PHLLJPLT??RS??D?DAFAFADADADAB?B?@?B@D@D@FBDDPLFL^h@NRLLJJLLJHFDNLJJNPHJBDLN\XfAxBlA|BdAlBh@bAx@vATb@j@bAfAnBh@`AxBlDlBlCPRn@|@bCvC~@lArBxBRV??N@@?PNd@`@ZTh@\hEhCZTPLJJTPLLRV^l@Xb@JTFNBDHXFPLd@DNFZBTBPDb@BV@TBn@DbADh@?JDp@NzCDdA@b@?T?P?PAPANAPEVCRERIb@ENCLKV??UfAcEzReAzE??_@xBI`@Mn@_@fBQz@Mp@_@lBqDhRcC`Mo@dDKn@G\EPMl@Ml@I`@G^IZI\GXABCLCJMd@GX[rAS|@c@bBIZk@jCaBdIu@lDCNo@xCq@dDs@hDq@dD[tAYtA??K`@Sv@Qj@CFCFEFs@bDG`@I\GXG\Ih@m@bDo@vC[~A??gDwAiAe@eFwBsCs@IC
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 1:45,5/30/13 1:55,2,-73.988686,40.722343,-73.98513,40.687115,11.5,CRD,0.5,0.5,2.4,0,14.9,5/30/13 2:13,1,uqpwFn|qbMUEu@SQ?[A??IXe@fCq@lDk@xCYdAMl@IXm@|CIX??ZHvFzA|A`@rCp@hCv@pBl@LFTHVEzBt@fEnA~@\lDzA`ClAp@\FRHJJD??HSPa@JWHOHKFIDGFGBCNMFGHGFGDCFIfFuBNIBA@AVKTMTKXMBADC@?NI`Bu@HE@ADCNI|As@TM@A@?@?NIvAq@XM@??A@?\O`Bw@dAc@bAc@lAk@p@Yn@[l@YvBaArHkDTKRKrAm@ZQbEuBx@e@x@e@b@S`@QvAo@TKVK~Au@b@U~As@VM?AVM~@a@DCv@]^Q@?`@Qd@U@ARIb@Sr@[@ABAn@YDCXMHCRKTK@?PKBAHCv@_@nDaBdBw@bAWXMHD??hAa@^MFCp@UbCaA^QXMpD{APIv@YbAa@nAk@`@QhA_@`Bk@rCiAnDyAvF{BrAi@nBu@t@e@??pCdBxBpAzBpA|BtA??gDrLYbA,cuiwFhfqbMoClJyCpKM`@??WOs@c@a@WOKMKi@[AAaAo@aAk@w@g@UKWIKEo@UaAk@WG??{CKiCEk@Ci@AsACcBCiCEiCEiAE??@eBHmHBgB@g@??a@RsDtAYJ??O@QBg@PWHYHQHwBbA??gEnBoAj@?@OFA@s@X?@A?KDcAd@C@}@`@SHA@A?QJA?y@^SJg@Ty@`@a@NA@QF]NUJiBz@MFwBbAKFEBSJqAh@_@PEBc@PeI|DiBz@UJSHqHnDmDbBA@KDA?GDGB?@GBIBA@A?A@KD[PA?UJq@ZeAd@OFA@s@ZaBr@YLA?C@_@PoAh@OHA@A?EBGBOHqAh@UJA?A@C@QH}At@KDEBG@WLYNOHYLA@C@WJkB|@SHSDOBWBU@eAB??`@aBF[Fa@h@iCl@yCF[F[^_Bj@uCVkA\iB??U?QAGAEAMEcDoAeF{B{D_B}@_@iBw@[MqF}BeFuBkFwBWM??MIOK
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 2:13,5/30/13 2:34,2,-73.986336,40.722473,-73.954811,40.820309,29,CRD,0.5,0.5,5.9,0,35.9,5/30/13 2:51,2,_rpwFplqbMNJLHVL??n@}Cr@iDReA\_Br@eDp@gDVkA\}AbBcIv@yDBMBORq@r@{BPi@XcAd@iD^}CDWDQBOF_@BI?E@E?G?AAE?CAEAE?EACCEAC?G??GAMAMAMCOAeDQkAEa@As@AY?]?E@IB??c@Ck@Cc@Ea@Ec@I]K]I[K_@O[OYQgFqC]SCAuBiAcB}@sAo@o@Wq@Wu@Q_AOmDYyBOm@?w@D[Da@J_@J_@P]P]TWRSPONg@l@g@r@i@r@a@b@m@f@WPSNMHGBMFqA\cBZa@FMBE@A?MBKBA?I@WDoF|@qDj@q@LSDA?G@MBG@WBU@S?M?I?UAUAYEQCSEWISGQGUKIGWMOKQMq@e@cAo@sBuAQKOIQKQIQISIQGQGQGQEQESEu@Qe@MSGQESCQEQESCSCQCWEeAMg@GgBUm@IYEQCWESG[IQEa@OUIMG[O{AaAGCoAu@SMUM_@Ue@Wg@]c@[c@]c@_@][][Y[_@c@a@c@a@c@[]Y[_@[[WwDwCIIAAKIA?EEcHyFgAw@}HmGoFcFu@q@uAeAEC[U_@W_@[iCuBWUQOOQOQOQk@u@s@cAw@kAk@k@y@i@aAk@_Am@kB}AwAiAk@e@YUUOIGGCAAECCCA?CA?AGCCCECAAA?[OIEs@]m@_@a@_@MQo@{@c@u@Yc@gAeBsBqCuEqF}@eAiAeAeB}AsCgC{AmAmB}A{CgCeAaAw@m@m@_@aAo@_CsBuB{AGEy@k@_DuCAAEE_A{@u@u@GGaCyBcA}@WWY]W[[e@S[OWSUIKOWU[U[[]QUQSSSSSSS{@u@a@]e@a@]]a@_@]]c@_@a@[_@Y[W[S[Q[QYM_@K[KYIWCYCo@?g@?g@@i@Bi@HaEx@OFKBm@P[JqAd@A@YJ}Bx@e@No@PUHi@JUF]DKBQBa@FG@s@JM@M@QBU@K?I?W?UASAUCSCWEUGUGOGCAKEEASKECa@Uk@_@QOSUQQOQOUOUKOGMKQO[O_@KYg@mAKUkAyC}@{BU_@MUU[W[UUeB{Aa@[AAGEKIy@q@]Yc@]s@k@[Qe@WSK]K}EcBkAc@a@QWO_C}AuB}AyAsA}@iAIMKOuDmGaBeDkCyFw@iB{@oBMYSYMUSQQSe@_@YSm@_@QI_@Si@Sm@OcAQi@Im@GMAs@G{@E??{@CkAC_BCi@@W@Y@aALGHCBC@IDOFc@NmAb@_AVm@N]HKBSDWDUDYFUDODs@DwBRc@HKBKBC@C@e@L_@PWJyA|@WRA??@OFSNSL{@j@gAz@oBdBg@f@WVc@`@UTSDm@n@mAfAk@d@ONOJk@b@q@b@w@`@o@Z}@\WJw@T{@RKBo@FWD[B??MIWC_BEs@Gi@I_AQG?G?M@GBIDA@IDEDEHCDCBCFUt@eAfD??GNCPO`@Up@{AvEkClI{BbHKXaCtHaBhFM\gFfPcBvFQf@??OGQGqBs@iC_AgCaAeC}@gC}@K@y@Y{@[GK??CJ_B`FgAfDsBrG??xBzA|BxA|BzAdFhDPL`C|A??G\AFKZkEbN??m@a@,{ucxFnhkbMyA}@c@YuA_A}B{A??Qf@kAtD}@pCM^Wv@Wx@GT?BAB@D?D@BDD??~ClCbBxAvAlAXHjF`E??Ql@KXCFCJ?@ADA@ELCFEN??|BfBdB~AbAx@PRlCtCLN??zB`C~@|@hBbBLHDBD@R@t@r@p@d@rAz@t@b@bAf@fAf@nCzAhAp@dGlEbAn@`CrAdKtFxEpCjEzCnE`DlA|@b@X~FbEjErClFhDdCtAdD~AdA`@hA^j@Pd@L@?@@@?F@`@LhBb@xBp@|Af@~@`@lAp@bAp@xApAfAlAjDdEZb@@@@@FF?@VZdBhB`CxBjEbDnCfBhBbA~Az@dBx@tAj@fBn@n@TTF@?RFJDdBb@vA`@XF`@LXHv@TfA^LF\NTJ`@TPJZP@?FDB@@@LH@?j@\~AbAtCfBrBrA|CtBzAbAh@\t@d@RN@B@?LLbC`C`@\ZXf@^hAz@d@\BBDBt@d@z@h@bBhABBTN?@@?TNn@`@`BfAxBvA~B|AlAv@l@`@~DjC~AdA~@l@hC`Bh@Zn@b@FDt@f@vB|A^VLFJFFBPFJDVHRDb@Fb@Fl@F??@SBa@Hc@dBeFdBmF??}@o@gAw@{@i@kAw@??Rm@DOtEyNjE_Nb@uAjBoGFQHWPi@n@mBFUb@oAL]f@_BvDyLrEkN\iA??eAs@aAm@??_@nAc@tAkDpKYdA]|@a@rAoA`EGH
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 2:51,5/30/13 2:58,2,-73.981148,40.767799,-73.970291,40.796555,9,CRD,0.5,0.5,0,0,10,5/30/13 8:18,3,smywFhmpbMk@x@??A?A?A?A?C?A?A?A?K@C@A@C?A@GDA@A?A@A@A@ABABA@ABABA@AB?B_@h@ABCBC@A?C@C?u@@sA@iA?mB@w@@m@BwBBeD?kCJW?g@@_CAaDE}CCeDG_DAiCIQAWAUCWGUI??{@i@iCcB{B{A{BwAaC_BaC}A{B{AiCaBgCcBaCwA}B}A}B{A_C}A_CyAgCcBeCaB}B{A}B}A{ByA}BuA}B}A}B}A}B}AyB}AgCcBgCaB{ByA}B{A??sBjG,qa_xFjinbMM^??|B|AxB|AdAv@~@r@??Tu@b@uAjAoDjFsPnFwPXw@??AQ?I?G?K?KCMKw@Iq@E[CY?_@@c@@Q?E@GDUFUDOH[V}@Vs@Tk@Xo@\s@^m@T_@Tc@Rc@Pi@Le@Ls@Fe@Dk@Fc@Jk@Lm@Tu@~@yCHY@CFQf@{A`@k@PSNKBAXONEREb@GZGZQBA@AFIFOHQH[??bC~A`C`BzBxAzB|A|BxAjBnADBJF|BvA|BzAzB|AjC|A??bC}H|BkHPi@vAoEBGFO@E@GHULc@fCaIr@wBbCyH??fCbB|B|AfCbBxBhA~BvA~BzAhCdBfC`B~B|AzB~A~B|A|B|A??fEyMlA{D
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 8:18,5/30/13 8:45,2,-73.954102,40.768745,-73.980125,40.747578,20,CRD,0,0.5,5,0,25.5,5/30/13 8:52,4,qsywFddkbMnBgG??|BzA??rC{IJWBIBK@I?I@E@E?E@CBC@ARK??v@j@pD`DNN??PRxDdDNLLJJFB@B?D@@?HA|ArAhCxB`@`@`@b@rA`BnAxAhBxBd@r@T`@^l@r@nAFHLPHLHJNR@@TTb@b@\Zp@h@JHFDPJl@`@RLNHJFDBDBDBFBHDdBfANN^VPXJNRNpAhA|A`Al@^^V\VVVTXbAtAj@z@f@n@\`@`@\fCxBtBfBLJ\X@Bt@r@jE`EXVFH@@@?BD\VvT|PVRDBPN^T??bApA\V^Zh@n@??BBHF^\bAfAZZz@z@ZZ\Z^\`@ZRN??aBlFMZ?BEHM`@ADOd@CHw@`CSl@eAdD??FDPJ@@HDHFHDPJn@b@zB|A??a@lAsAjEYx@k@jBq@xBw@~B_@hAqA~D,unuwFhgpbMo@nBMb@iBtFWx@gC~HmGbS??cBgA
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 8:52,5/30/13 9:09,2,-73.98703,40.751003,-73.95752,40.773369,13,CSH,0,0.5,0,0,13.5,5/30/13 9:11,5,odvwFhqqbMWO{BwA{BwA}ByAwB_B}BwAIIeBeAUOeCcB}B{A{B{A{BwA_CyA{ByA{B}A{ByAaC{AyByA_CyAyB_B}B{A{BwAgCcB??xAsEvDqLdCaI|BoHPg@~BmHfC}H??iCaBYSaBgASOi@]i@]SO}BwA}B}A{BuA}B_B{B}AgBiAUO{B{A}ByA{B}A}BwA{B}AiCeBgC_B_CyA{B_B_C{A}B}A_C}A??ZaA,cqzwF`ykbM`D_K??~B|AFD
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 9:11,5/30/13 9:35,2,-73.956062,40.77198,-74.001793,40.755711,18,CRD,0,0.5,3.6,0,22.1,5/30/13 9:43,6,ygzwFdpkbMrBxA~B|A|B|A~@p@z@j@lClB??W|@ELGNELEFGJEHGNGPKZcBfFk@hB{AzE}BlHQf@}BlHgBpF_@lA??hC~A|@j@~@n@bBhAVPzBxA|BxA`@XxAbA??Oj@CPCPCTAXAR?N?L?P@b@?@?LBt@?Z?P?DA\?TCVC`@?HMr@Mp@CNCPA@?BEP?@ADEPERMh@GVK\M^GLGNk@jAKPGJCDKPKRs@jAGLg@x@MTYh@OZ]r@i@hA_@v@e@|@GLQZCBUb@Yb@a@l@a@p@SVMREJGHO`@??iFvP??fAr@v@f@PN|@`@x@r@t@d@f@^NJnAz@h@^~BtAjBpALHbCzA??p@d@hAt@dC`BfC`B|BxA|BxAzB~AzBxAzBtA~B~AxBzA|BzAzBxA|@h@`An@zBzAtA|@d@\~BxAr@f@rAz@pBxAvA|@r@d@xBxA|@j@`Aj@tBrA|@r@|@h@~BzApAz@p@b@??y@bCu@dCg@~Ag@~AWv@Wt@_AvCENYz@GPKZGRaBjF,cbwwFfntbM`BkFFSJ[FQX{@DO~@wCVu@Vw@f@_Bf@_Bt@eCx@cC??bC~AjBrAb@XbBlAd@Xv@h@XP~B~AbAl@x@h@nBpADDv@f@fAv@|BtA|@j@z@h@r@f@nA|@??rF_Q|DaM
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 9:43,5/30/13 9:51,3,-73.996246,40.744331,-73.977837,40.742153,7.5,CRD,0,0.5,1.5,0,9.5,5/30/13 13:40,7,c{twFnksbMn@qBpF}PxAwErDiLf@yA`AcDZcAtAeEn@oBFUdCyHbC_I??w@k@kAw@wByAmAw@o@_@yByA{ByA}ByA{B{A??|D{L??TN,kmtwFhxobMdBfA??}D~L??{B{A{ByAyByAyByAgC_BaCaB{ByA??x@qCJY?A@EHQH[JYJc@fAcD??Ac@@OBQ@O@K?E?QZaALa@\qADSBS@M@Q?S?UCYCSEUACEQGSAEMYOUGKGGACA?QU][ECAAeGwDQOOSQSOWMUGQA??ACGMa@Mc@Ia@Ga@Ca@Be@Da@Fa@BK@CBIJe@H[@A@E?A@A?AHS?A@?DKTm@Pa@Zo@Zk@hU}\v@iAx@qAl@iAl@oAn@{A\cATcARiAPiA@CHs@@I@KBMZaBL_ArAqMBa@?O?I?M?O?uC?I?E?K@Q?SFcADg@Bi@F{A??L]@C?C@C?W??@E?E?KAOAOAQAWCUAOEO??AmAUwDCYE[CWCEGMAAEECEKGECA?ECSMuA[_@AUGe@KwBg@wBi@oCo@QEqBe@iCm@iCm@iCm@uCq@sCo@c@Mc@Yy@s@OKeEgDQQw@y@][EE_AaAaByAg@c@IEAAGIA?GG?ACCCA?ACCKKGGIMMOoGmGKMoFgF_GoFmEiEuBkBaCqBgF{E??d@qA^aAPc@j@_B
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 13:40,5/30/13 13:56,2,-73.935425,40.759201,-73.915611,40.757393,10.5,CSH,0,0.5,0,0,11,5/30/13 14:35,8,exwwFfogbM`@eAdAyCxA{DjBmFlA}ChAcDfA{CBGhAyChA_DhA_DjA_DhA_DjA_DhA_DjAyC??gEaDoByAsH{FiMoJ??hAcDhA_DjA_DjA}CPg@,ulwwFpscbMQf@??hMpJfGtELHXJ??DZV~AJp@VlBJl@Jx@\~BL`AJp@RvANhAVhBL|@b@tCTpBTjBLpABjB@nBBnD@`E?~B?xBD|EBnCD`AB\B`@PlAX~AHj@@J?NJHxBfDhApAlDvDLNVZVZ??Cj@Eb@CTARCVCPCLAHEPGd@Ol@??IFEHEPGTEV[fAKb@Ub@Ur@Sl@GTUp@?@K\Mf@i@~AeD~JI^Sx@uAdEABWx@a@lA?@g@xAOh@eAzCwAlE_B`FYz@c@pACHAB[bAaAtCaGxQYx@ABCF?@Wt@y@~Bw@`CELCHA@AFCFQj@}B|G}B|GK\ITaAtCA??@_@jA??_AnC_@~@GNIN??QPWp@EJCHM`@O^yAhE?@CDA@ABC@C@C@C?C@C?CAA?AAEA??hAoDb@sAFS??mAw@o@a@{ByA{@m@]Uc@[{ByA}BwAoA{@
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 14:35,5/30/13 14:55,2,-73.959038,40.763813,-73.975029,40.777451,13.5,CRD,0,0.5,1,0,15,5/30/13 14:56,9,qtxwFjblbMk@_@??gEzM]dA}BjHa@jAeC`IaCnHMb@_CnHgC|H??Oj@CPCPCTAXAR?N?L?P@b@?@?LBt@?Z?P?DA\?TCVC`@?HMr@Mp@CNCPA@?BEP?@ADEPERMh@GVK\M^GLGNk@jAKPGJCDKPKRs@jAGLg@x@MTYh@OZ]r@i@hA_@v@e@|@GLQZCBUb@Yb@a@l@a@p@SVMREJGHO`@??uBuAaC_B{ByAIGoBuA{ByAiCcBgCcBoBqA,cj{wF`gobMQKiAw@
