medallion,pickuptime,dropofftime,passengers,pickupx,pickupy,dropoffx,dropoffy,fare,paymenttype,surcharge,mtatax,tip,tolls,total,nextpickuptime,key,trippolyline,nextpolyline
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 6:00,2/6/13 6:03,1,-73.97039,40.794312,-73.964478,40.807198,5,CSH,0.5,0.5,0,0,6,2/6/13 6:11,0,_s~wF|hnbMcBgA{ByA}B{A}B}A}ByA{B{A}B{A_C}A_CyAaC_B??u@xBiAnDo@nB??kDOW?WCWEQCYI_@MOGOG}AcAwB}AcC}Aq@e@iAu@}B{A{B{AcBgA,ycaxFndmbM[SeCaBeD{BaBeA}B{AqBqA??ZcApAeEdAaDr@wBf@aB|A_F??|B~@zB|AbC~A~B|AhC`BrCn@jCl@lLtCJ@??ZFh@`@r@`@tA`Af@Xv@h@bAp@rAz@r@d@bAp@bAn@jAx@r@d@zBxAtFpDz@j@x@j@v@f@vA`AnExC
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 0:01,5/30/13 0:18,3,-74.002365,40.734482,-73.947754,40.723988,18,CSH,0.5,0.5,0,0,19,5/30/13 1:45,0,m}rwFnqtbMZN|BjAPFpAl@rAn@tAn@XN??bBy@t@]`Ae@j@YtBeAvAo@ZQVIpA_DHU??vEtDTR??hAwCjAwCfAoCjA}CjAwChAuCd@gAL]JYLg@j@uDBMF[Dg@DU`@uAh@}BDWn@qCTy@`@cB??vFzA|A`@rCp@hCv@pBl@LF??NWJWj@wCJa@Hg@b@sBFc@Jc@\cBRaAZwAFYF[Z}Ad@_CFWn@cDn@}CDSDMFUd@gBz@oCFQ??@GDK?CBI@GBIlKgh@??`@_CBKF_@Nw@TqA@Ah@sCBKBSFYF]t@}DDOFWfIqa@XuALm@Lm@n@}CF]x@{D^eBhAgF~AuHJc@VmATq@d@wBVmAVmAHc@BWFg@BSBg@@]???_@A[A[E_AA_@MaCCa@C[?OEaAGqAEs@Cc@COCSCQCSG[GWEMCKKWEMWm@k@_Ag@o@u@q@CCa@Wu@c@wAy@aAi@aAu@_Ay@s@q@w@y@e@g@EGAA?AAA?AAA?CGWYYWYy@}@s@{@SWa@i@gA_Bg@s@i@{@c@o@k@aAk@cAMWQY{B_Eg@{@a@u@wAiCeAqBe@{@g@eA??Oq@EIK]KYGUSw@Mu@Ou@??UWSQOKQKQGQG??IJGHIBA?KBMJkBbBa@b@oAnAe@l@}AdB_@b@}@~@s@t@qFpC,_|pwFd|ibMi@XwAr@??m@gCw@eDu@cDKi@AEAGAK??tNsA~BSjCYlBSL?PHLLJPLT??RS??D?DAFAFADADADAB?B?@?B@D@D@FBDDPLFL^h@NRLLJJLLJHFDNLJJNPHJBDLN\XfAxBlA|BdAlBh@bAx@vATb@j@bAfAnBh@`AxBlDlBlCPRn@|@bCvC~@lArBxBRV??N@@?PNd@`@ZTh@\hEhCZTPLJJTPLLRV^l@Xb@JTFNBDHXFPLd@DNFZBTBPDb@BV@TBn@DbADh@?JDp@NzCDdA@b@?T?P?PAPANAPEVCRERIb@ENCLKV??UfAcEzReAzE??_@xBI`@Mn@_@fBQz@Mp@_@lBqDhRcC`Mo@dDKn@G\EPMl@Ml@I`@G^IZI\GXABCLCJMd@GX[rAS|@c@bBIZk@jCaBdIu@lDCNo@xCq@dDs@hDq@dD[tAYtA??K`@Sv@Qj@CFCFEFs@bDG`@I\GXG\Ih@m@bDo@vC[~A??gDwAiAe@eFwBsCs@IC
9AAAA2F956089FE51E971AC4941548CB,3/15/13 0:17,3/15/13 0:33,2,-73.985931,40.760651,-74.005302,40.727531,13,CRD,0.5,0.5,0,0,14,3/15/13 1:55,0,w`xwFhkqbM|A{EZcAZaA??`Aj@|@j@zBvAr@b@jAr@^^xA~@~B~AdC|AbCbBj@\nAx@zBvAxBxA|BzAvB|AxB~Ax@d@n@\^RbC|At@f@\Tf@\b@X\Tv@h@|BxAzBxAzBxAxB~A|BtAvBzA|BvAbCbBh@\zA`AzBtArBrAtBtArBtAtBtAtBrA~B|AjCdBdCdB`C~A\T`BfANDjCjAr@\|Ar@rCtA|BjAPFpAl@rAn@tAn@XN`Ab@PHdCjArAr@jAh@|DfB??X@vANl@FnCT|@J,erqwFleubMvALjCTvCX??TwFFiB??sC_AmCo@iC}@o@SeAc@??F]@KBIBGBK^_AhAwCjAwCfAoCjA}CjAwChAuCd@gAL]JYLg@j@uDBMF[Dg@DU`@uAh@}BDWn@qCTy@`@cBFYzAmH??|B~@lBx@dCfA`Bn@??Ib@
EEC9C6596BD11B4F213367BEF164ED40,9/9/13 0:05,9/9/13 0:12,1,-73.99115,40.734352,-73.996979,40.711773,8,CSH,0.5,0.5,0,0,9,9/9/13 0:05,0,o|rwF~irbMdANhCZNBtC^NBh@HF@nATlBzAtB`BbBnAfBxArB~AtBdBtBbBzBdB`CpBt@l@dAv@FFpAdAXRzE|DlFjE`GvEfA|@pB~AlA`At@l@p@j@jBxAj@d@fBvArBdBtB`BnBzAv@p@`Ax@??j@yAv@_CZ{@JYf@mA`@kAHYJYp@kBdAgCJUFSFO\}@x@wB\iAn@qBV_@??m@cB??d@o@@C?C?C?A@E?EAWCc@??dCe@nCc@x@M,uonwFjosbMpAQz@KrDi@??vAUlB_@??Gs@WgDKiAIqAC[Cg@Y{DY{DAW?K?AAKCY??QBa@HmAJMBMBK@MBK@SB??QDUFQDKBOBuAJy@FK@_AHuCR{@HgAFa@DgAH??e@DC?A?C?EAECIA}@_@_FuBgCgAWIkAc@wDcBaBo@e@Q]O[KgDwAiAe@eFwBsCs@_@Iu@SQ?[A??SCICEAECECKIKEcAq@o@c@}@k@cAq@{BwAu@g@aAo@wByAq@c@cAq@yBwAaAo@u@g@sBsA_Am@w@i@aC_BeAq@y@i@[SoBoA??eEzM}D`MeC|H}A|EOf@{@fC??~AR
6CF439D8FDD1C1BCBCD64BC6A4743AF0,10/9/13 0:38,10/9/13 0:53,1,-74.006958,40.728889,-73.967194,40.757515,14.5,CRD,0.5,0.5,2,0,17.5,10/9/13 1:18,0,szqwFjoubMsBQqCYqCUoCWcAIsAM_CUcCS_CQOEMC{BQ}BSOAOA_AKe@GKAMEICKGGGGEMOIK??UWqB}Bi@m@iAuAOOg@o@QSs@w@{@eA}@{@iAu@qAy@y@k@}B{A_Am@u@g@uBuAy@i@{@i@sBwA}@i@w@i@{BwAcAq@_Ao@??lFsPpF}PxAwErDiLf@yA`AcDZcAtAeEn@oBFUdCyHbC_I??w@k@kAw@wByAmAw@o@_@yByA{ByA}ByA{B{A{ByAyByAyByAgC_BaCaB{ByA}B{A}AeAYS{ByA_CyAyB{AeC_BeC_B_C}A{ByA{B{A{ByA}ByA}B{A{B{A}B{A}ByA}B{AKGqBqA??nCsIDO,{mwwFtumbMf@}A??zB|A??wChJc@rA??KGqBqA{ByA??gC`I}AvEc@tAMd@_CnHgC~HqF~P]dAqC|Iw@dCe@vA}@pCCHCHWv@KZcCxHmFvP??|BxA??`FwO
EEC9C6596BD11B4F213367BEF164ED40,9/9/13 0:05,9/9/13 0:12,1,-73.99115,40.734352,-73.996979,40.711773,8,CSH,0.5,0.5,0,0,9,9/9/13 0:28,1,o|rwF~irbMdANhCZNBtC^NBh@HF@nATlBzAtB`BbBnAfBxArB~AtBdBtBbBzBdB`CpBt@l@dAv@FFpAdAXRzE|DlFjE`GvEfA|@pB~AlA`At@l@p@j@jBxAj@d@fBvArBdBtB`BnBzAv@p@`Ax@??j@yAv@_CZ{@JYf@mA`@kAHYJYp@kBdAgCJUFSFO\}@x@wB\iAn@qBV_@??m@cB??d@o@@C?C?C?A@E?EAWCc@??dCe@nCc@x@M,uonwFjosbMpAQz@KrDi@??vAUlB_@??Gs@WgDKiAIqAC[Cg@Y{DY{DAW?K?AAKCY??QBa@HmAJMBMBK@MBK@SB??QDUFQDKBOBuAJy@FK@_AHuCR{@HgAFa@DgAH??e@DC?A?C?EAECIA}@_@_FuBgCgAWIkAc@wDcBaBo@e@Q]O[KgDwAiAe@eFwB??Z{Aj@wC??nDvA
6CF439D8FDD1C1BCBCD64BC6A4743AF0,10/9/13 1:18,10/9/13 1:21,1,-73.984406,40.764881,-73.970352,40.760731,4.5,CRD,0.5,0.5,1,0,6.5,10/9/13 2:05,1,i{xwFtaqbMH[tCaJFUBEDMV{@n@sB|AaFhBuFf@}A??}B{A{BwA??xAuEnC{Id@uAjAwDx@gCrAeEj@iBPg@x@iC,w`xwFhjnbMdAcD??zBzAzBxAjBlAPNzB|A`@XzAdA|BpA|BzAtA|@d@ZzB~A`CrAzBzAzBvA|B|At@h@nAz@bC~A|BxAzBvAzBxAzBxAxBzAz@j@~@n@dC~AbC|A|BzAvBzA|BvAzBxAxBxAzBzA|BxAzBvA??cCvHIV??xBxAdC`BdC~Az@j@|@n@tBrAr@d@~@n@tBtAz@h@z@h@??|@n@r@f@|BzANJPLNVFJDHFJP`@Tj@??c@vAUr@Ur@cBpFELu@zBoGdSkFrPcD~J
9AAAA2F956089FE51E971AC4941548CB,3/15/13 1:55,3/15/13 2:02,1,-73.992409,40.721363,-74.001778,40.740311,8,CRD,0.5,0.5,1,0,10,3/15/13 2:07,1,}jpwFzsrbMQv@k@rC??qCs@OGOCCAEAs@Q_D}@wA_@YI??IXw@~Cq@jCAn@Id@UdA_@tAQ|@CDMRSpAWfBKb@KXOd@a@dAiAtCkAvCc@jAQb@Ul@iAlCiAxCiAtCITITUp@CDAD?DADCZ??c@OoEeBOIQG}CuAkB_A_CyAuBwA{ByAmCiBiBiA_C{Ai@_@kAw@_C}A_CwAkCcBeCiB??qFvPyEbO,abtwF~mtbMUr@w@bCsDtL??`@V\NHBn@F@?
21B98CAC5B31414B9446D381D38EEC7F,5/30/13 1:45,5/30/13 1:55,2,-73.988686,40.722343,-73.98513,40.687115,11.5,CRD,0.5,0.5,2.4,0,14.9,5/30/13 2:13,1,uqpwFn|qbMUEu@SQ?[A??IXe@fCq@lDk@xCYdAMl@IXm@|CIX??ZHvFzA|A`@rCp@hCv@pBl@LFTHVEzBt@fEnA~@\lDzA`ClAp@\FRHJJD??HSPa@JWHOHKFIDGFGBCNMFGHGFGDCFIfFuBNIBA@AVKTMTKXMBADC@?NI`Bu@HE@ADCNI|As@TM@A@?@?NIvAq@XM@??A@?\O`Bw@dAc@bAc@lAk@p@Yn@[l@YvBaArHkDTKRKrAm@ZQbEuBx@e@x@e@b@S`@QvAo@TKVK~Au@b@U~As@VM?AVM~@a@DCv@]^Q@?`@Qd@U@ARIb@Sr@[@ABAn@YDCXMHCRKTK@?PKBAHCv@_@nDaBdBw@bAWXMHD??hAa@^MFCp@UbCaA^QXMpD{APIv@YbAa@nAk@`@QhA_@`Bk@rCiAnDyAvF{BrAi@nBu@t@e@??pCdBxBpAzBpA|BtA??gDrLYbA,cuiwFhfqbMoClJyCpKM`@??WOs@c@a@WOKMKi@[AAaAo@aAk@w@g@UKWIKEo@UaAk@WG??{CKiCEk@Ci@AsACcBCiCEiCEiAE??@eBHmHBgB@g@??a@RsDtAYJ??O@QBg@PWHYHQHwBbA??gEnBoAj@?@OFA@s@X?@A?KDcAd@C@}@`@SHA@A?QJA?y@^SJg@Ty@`@a@NA@QF]NUJiBz@MFwBbAKFEBSJqAh@_@PEBc@PeI|DiBz@UJSHqHnDmDbBA@KDA?GDGB?@GBIBA@A?A@KD[PA?UJq@ZeAd@OFA@s@ZaBr@YLA?C@_@PoAh@OHA@A?EBGBOHqAh@UJA?A@C@QH}At@KDEBG@WLYNOHYLA@C@WJkB|@SHSDOBWBU@eAB??`@aBF[Fa@h@iCl@yCF[F[^_Bj@uCVkA\iB??U?QAGAEAMEcDoAeF{B{D_B}@_@iBw@[MqF}BeFuBkFwBWM??MIOK
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 6:11,2/6/13 6:19,1,-73.96682,40.793674,-73.966331,40.807308,7.5,CSH,0,0.5,0,0,8,2/6/13 6:21,1,wo~wFftmbM^V??kFtPoBjGSd@iBhGwBtGMb@??[SGCGCCAEAEACAE?GAG?I?I@_@Ba@BQ@Q?MAI?OCOASGQEMGQGMGMGOKQKIGOKMKk@c@e@]gA_A[[QQUUKOQSMQKOMUQYOWU_@CSEMU[MI[U]QeG}DgEsCy@g@gAo@{@i@iB_AiBw@gAe@m@UgEoBmBiAQI??H[j@gB,wdaxFnpmbMJ[dBsF??|BvAzB|ApA|@j@\v@f@
