medallion,pickuptime,dropofftime,passengers,pickupx,pickupy,dropoffx,dropoffy,fare,paymenttype,surcharge,mtatax,tip,tolls,total
6D49E494913752B75B2685E0019FF3D5,8/1/13 0:04,8/1/13 0:14,1,-73.98378,40.727062,-73.987953,40.738171,8,CSH,0.5,0.5,0,0,9
6D49E494913752B75B2685E0019FF3D5,8/1/13 0:53,8/1/13 1:10,1,-73.982819,40.727528,-73.989502,40.688671,17.5,CRD,0.5,0.5,2,0,20.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 1:14,8/1/13 1:28,1,-73.987312,40.692142,-73.996239,40.662334,13,CSH,0.5,0.5,0,0,14
6D49E494913752B75B2685E0019FF3D5,8/1/13 1:51,8/1/13 1:56,1,-73.988724,40.717548,-73.990273,40.717949,5,CSH,0.5,0.5,0,0,6
6D49E494913752B75B2685E0019FF3D5,8/1/13 2:14,8/1/13 2:28,1,-73.98101,40.721199,-73.9869,40.748562,12,CRD,0.5,0.5,1,0,14
6D49E494913752B75B2685E0019FF3D5,8/1/13 3:10,8/1/13 3:27,1,-73.985329,40.722015,-73.954201,40.801388,20,CRD,0.5,0.5,5.25,0,26.25
6D49E494913752B75B2685E0019FF3D5,8/1/13 3:36,8/1/13 4:12,1,-73.972008,40.794571,-73.977364,40.683796,34,CSH,0.5,0.5,0,0,35
6D49E494913752B75B2685E0019FF3D5,8/1/13 5:42,8/1/13 5:58,1,-74.000389,40.718346,-73.952538,40.789555,18.5,CRD,0.5,0.5,3.9,0,23.4
6D49E494913752B75B2685E0019FF3D5,8/1/13 6:02,8/1/13 6:06,1,-73.954071,40.787075,-73.944466,40.779697,5,CRD,0,0.5,1,0,6.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 6:36,8/1/13 6:46,1,-73.977798,40.736626,-74.013809,40.715126,16,CRD,0,0.5,2,0,18.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 6:49,8/1/13 6:55,1,-74.015877,40.715366,-74.008888,40.702747,7.5,CSH,0,0.5,0,0,8
6D49E494913752B75B2685E0019FF3D5,8/1/13 6:59,8/1/13 7:05,1,-74.016861,40.707752,-74.009148,40.718739,6.5,CRD,0,0.5,1.4,0,8.4
6D49E494913752B75B2685E0019FF3D5,8/1/13 7:16,8/1/13 7:26,1,-73.988655,40.748341,-73.989555,40.772224,9.5,CSH,0,0.5,0,0,10
6D49E494913752B75B2685E0019FF3D5,8/1/13 7:29,8/1/13 7:39,1,-73.988625,40.774307,-73.989349,40.753822,9,CSH,0,0.5,0,0,9.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 7:43,8/1/13 7:53,1,-73.989662,40.748486,-73.980087,40.758312,8,CSH,0,0.5,0,0,8.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 8:09,8/1/13 8:27,1,-73.955322,40.782524,-73.979607,40.76228,13,CRD,0,0.5,2.7,0,16.2
6D49E494913752B75B2685E0019FF3D5,8/1/13 8:35,8/1/13 8:43,1,-73.98069,40.770435,-73.971786,40.760441,8,CRD,0,0.5,1.5,0,10
6D49E494913752B75B2685E0019FF3D5,8/1/13 8:48,8/1/13 8:59,1,-73.974419,40.755249,-73.9561,40.766884,9.5,CRD,0,0.5,2.5,0,12.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 9:01,8/1/13 9:23,1,-73.954742,40.766663,-73.9785,40.759815,14,CRD,0,0.5,3.62,0,18.12
6D49E494913752B75B2685E0019FF3D5,8/1/13 9:32,8/1/13 10:02,1,-73.986298,40.761848,-73.994621,40.727985,19.5,CRD,0,0.5,1,0,21
6D49E494913752B75B2685E0019FF3D5,8/1/13 10:28,8/1/13 10:42,1,-73.983749,40.738029,-74.006805,40.726547,11,CRD,0,0.5,1,0,12.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 10:46,8/1/13 11:15,1,-74.007172,40.728512,-73.984215,40.763168,18,CRD,0,0.5,3.7,0,22.2
6D49E494913752B75B2685E0019FF3D5,8/1/13 11:19,8/1/13 11:34,1,-73.985298,40.758789,-73.97435,40.763302,10,CRD,0,0.5,2.1,0,12.6
6D49E494913752B75B2685E0019FF3D5,8/1/13 11:37,8/1/13 11:55,1,-73.97596,40.760632,-74.002937,40.74931,12.5,CRD,0,0.5,2.6,0,15.6
6D49E494913752B75B2685E0019FF3D5,8/1/13 12:12,8/1/13 12:16,1,-74.008606,40.734722,-74.005424,40.727818,5,CRD,0,0.5,1.1,0,6.6
6D49E494913752B75B2685E0019FF3D5,8/1/13 12:18,8/1/13 12:30,1,-74.005302,40.726494,-73.998482,40.713455,8.5,CSH,0,0.5,0,0,9
6D49E494913752B75B2685E0019FF3D5,8/1/13 12:35,8/1/13 12:54,1,-73.993195,40.722233,-73.973976,40.751392,13.5,CRD,0,0.5,5,0,19
6D49E494913752B75B2685E0019FF3D5,8/1/13 12:56,8/1/13 13:12,1,-73.973785,40.751671,-73.972687,40.780872,12.5,CRD,0,0.5,2,0,15
6D49E494913752B75B2685E0019FF3D5,8/1/13 13:16,8/1/13 13:38,1,-73.972733,40.780819,-73.97966,40.757813,14.5,CSH,0,0.5,0,0,15
6D49E494913752B75B2685E0019FF3D5,8/1/13 13:39,8/1/13 13:47,1,-73.979332,40.75787,-73.963432,40.76762,7.5,CSH,0,0.5,0,0,8
6D49E494913752B75B2685E0019FF3D5,8/1/13 14:36,8/1/13 14:45,1,-73.953972,40.775017,-73.964806,40.792789,9,CSH,0,0.5,0,0,9.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 14:51,8/1/13 14:57,1,-73.965965,40.790157,-73.966492,40.804241,6.5,CSH,0,0.5,0,0,7
6D49E494913752B75B2685E0019FF3D5,8/1/13 15:08,8/1/13 15:17,1,-73.978287,40.788574,-73.98632,40.767311,9,CRD,0,0.5,1.25,0,10.75
6D49E494913752B75B2685E0019FF3D5,8/1/13 17:57,8/1/13 18:22,1,-74.00528,40.706585,-73.952248,40.773083,22,CSH,1,0.5,0,0,23.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 19:02,8/1/13 19:11,1,-73.965698,40.772053,-73.983932,40.774998,7.5,CSH,1,0.5,0,0,9
6D49E494913752B75B2685E0019FF3D5,8/1/13 19:13,8/1/13 19:16,1,-73.983513,40.775646,-73.977684,40.788914,5,CSH,1,0.5,0,0,6.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 19:17,8/1/13 19:21,1,-73.974785,40.793217,-73.976578,40.783363,5,CRD,1,0.5,1.3,0,7.8
6D49E494913752B75B2685E0019FF3D5,8/1/13 19:26,8/1/13 19:28,1,-73.973946,40.78933,-73.965935,40.795185,4,CSH,1,0.5,0,0,5.5
6D49E494913752B75B2685E0019FF3D5,8/1/13 19:34,8/1/13 19:39,1,-73.97892,40.785099,-73.963554,40.794502,6.5,CSH,1,0.5,0,0,8
